location,date,people_vaccinated_per_hundred
Macao,6/14/22,87.99
Uruguay,6/14/22,87.5
South Korea,6/14/22,87
Peru,6/14/22,86.64
Italy,6/14/22,86.05
Brazil,6/14/22,85.61
Australia,6/14/22,85.32
Canada,6/14/22,85.19
Ecuador,6/14/22,84.32
South America,6/14/22,84.14
Bahrain,6/14/22,84.06
Japan,6/14/22,83.66
Aruba,6/14/22,83.65
Scotland,6/14/22,82.84
New Zealand,6/14/22,82.76
Malaysia,6/14/22,82.65
Denmark,6/14/22,81.7
Ireland,6/14/22,81.44
Upper middle income,6/14/22,81.4
Wales,6/14/22,80.98
France,6/14/22,80.36
Norway,6/14/22,79.89
England,6/14/22,79.62
Belgium,6/14/22,79.37
United Kingdom,6/14/22,79.31
Thailand,6/14/22,78.96
High income,6/14/22,78.31
United States,6/14/22,78.22
Sri Lanka,6/14/22,78.2
Germany,6/14/22,77.59
Austria,6/14/22,76.94
Greece,6/14/22,76.24
Asia,6/14/22,75.14
European Union,6/14/22,74.34
Luxembourg,6/14/22,74.3
Nepal,6/14/22,73.58
Latvia,6/14/22,72.72
North America,6/14/22,72.37
India,6/14/22,71.54
Israel,6/14/22,71.05
Lithuania,6/14/22,70.98
Switzerland,6/14/22,69.64
Europe,6/14/22,68.66
Turkey,6/14/22,67.79
Czechia,6/14/22,66.38
World,6/14/22,65.24
Estonia,6/14/22,65.05
Dominican Republic,6/14/22,64.38
Hungary,6/14/22,64.32
Oceania,6/14/22,64.07
Lower middle income,6/14/22,59.88
Slovenia,6/14/22,59.71
Bolivia,6/14/22,59.06
Pakistan,6/14/22,57.6
Croatia,6/14/22,57.44
Poland,6/14/22,57.03
Curacao,6/14/22,56.61
Kosovo,6/14/22,50.7
Lebanon,6/14/22,49.07
Kazakhstan,6/14/22,49.05
Trinidad and Tobago,6/14/22,49.03
Serbia,6/14/22,48.8
Montenegro,6/14/22,46.46
Georgia,6/14/22,43.5
Zimbabwe,6/14/22,38.42
South Africa,6/14/22,36.57
Jamaica,6/14/22,28.59
Iraq,6/14/22,24.22
Kyrgyzstan,6/14/22,23.62
Africa,6/14/22,21.96
Low income,6/14/22,15.23
Cuba,6/13/22,95.21
Chile,6/13/22,91.75
Singapore,6/13/22,91.33
Argentina,6/13/22,90.49
Hong Kong,6/13/22,89.78
Malta,6/13/22,89.37
Taiwan,6/13/22,88.39
Macao,6/13/22,87.97
Uruguay,6/13/22,87.5
South Korea,6/13/22,86.99
Vietnam,6/13/22,86.7
Peru,6/13/22,86.63
Italy,6/13/22,86.05
Brazil,6/13/22,85.6
Australia,6/13/22,85.31
Canada,6/13/22,85.18
Ecuador,6/13/22,84.31
South America,6/13/22,84.14
Bahrain,6/13/22,84.06
Japan,6/13/22,83.66
Aruba,6/13/22,83.63
Scotland,6/13/22,82.83
New Zealand,6/13/22,82.76
Malaysia,6/13/22,82.65
Denmark,6/13/22,81.69
Ireland,6/13/22,81.44
Upper middle income,6/13/22,81.4
Wales,6/13/22,80.96
France,6/13/22,80.35
Norway,6/13/22,79.89
England,6/13/22,79.61
Belgium,6/13/22,79.37
United Kingdom,6/13/22,79.31
Thailand,6/13/22,78.95
High income,6/13/22,78.3
United States,6/13/22,78.21
Germany,6/13/22,77.59
Austria,6/13/22,76.94
Greece,6/13/22,76.24
Maldives,6/13/22,76.13
Fiji,6/13/22,75.95
Bangladesh,6/13/22,75.46
Northern Ireland,6/13/22,75.22
Asia,6/13/22,75.13
European Union,6/13/22,74.33
Luxembourg,6/13/22,74.29
Latvia,6/13/22,72.72
North America,6/13/22,72.36
India,6/13/22,71.52
Oman,6/13/22,71.37
Israel,6/13/22,71.05
Lithuania,6/13/22,70.98
Switzerland,6/13/22,69.64
Europe,6/13/22,68.66
Turkey,6/13/22,67.79
Czechia,6/13/22,66.38
World,6/13/22,65.23
Estonia,6/13/22,65.05
New Caledonia,6/13/22,64.97
Dominican Republic,6/13/22,64.37
Oceania,6/13/22,64.06
Lower middle income,6/13/22,59.87
Slovenia,6/13/22,59.71
Bolivia,6/13/22,59.05
Tunisia,6/13/22,58.53
Pakistan,6/13/22,57.57
Croatia,6/13/22,57.44
Poland,6/13/22,57.03
Curacao,6/13/22,56.6
Kosovo,6/13/22,50.7
Montenegro,6/13/22,46.46
Solomon Islands,6/13/22,39.11
South Africa,6/13/22,36.55
Jamaica,6/13/22,28.58
Kyrgyzstan,6/13/22,23.61
Africa,6/13/22,21.96
Djibouti,6/13/22,16.85
Low income,6/13/22,15.23
Somalia,6/13/22,14.2
Syria,6/13/22,12.1
Cuba,6/12/22,95.21
Chile,6/12/22,91.74
Singapore,6/12/22,91.33
Argentina,6/12/22,90.48
Cambodia,6/12/22,89.78
Hong Kong,6/12/22,89.76
Malta,6/12/22,89.37
Bhutan,6/12/22,88.56
Taiwan,6/12/22,88.36
Macao,6/12/22,87.95
Uruguay,6/12/22,87.49
South Korea,6/12/22,86.99
Vietnam,6/12/22,86.66
Peru,6/12/22,86.62
Italy,6/12/22,86.05
Brazil,6/12/22,85.59
Canada,6/12/22,85.18
Ecuador,6/12/22,84.31
South America,6/12/22,84.13
Bahrain,6/12/22,84.06
Japan,6/12/22,83.66
Scotland,6/12/22,82.83
New Zealand,6/12/22,82.76
Malaysia,6/12/22,82.65
Denmark,6/12/22,81.69
Ireland,6/12/22,81.44
Upper middle income,6/12/22,81.39
Wales,6/12/22,80.95
France,6/12/22,80.35
Norway,6/12/22,79.89
England,6/12/22,79.61
Belgium,6/12/22,79.37
United Kingdom,6/12/22,79.31
Thailand,6/12/22,78.95
High income,6/12/22,78.3
United States,6/12/22,78.19
Germany,6/12/22,77.59
Austria,6/12/22,76.94
Greece,6/12/22,76.24
Bangladesh,6/12/22,75.45
Jersey,6/12/22,75.38
Northern Ireland,6/12/22,75.21
Asia,6/12/22,75.12
European Union,6/12/22,74.33
Sweden,6/12/22,73.86
Latvia,6/12/22,72.72
Andorra,6/12/22,72.5
North America,6/12/22,72.35
India,6/12/22,71.51
Israel,6/12/22,71.05
Lithuania,6/12/22,70.98
Switzerland,6/12/22,69.64
Europe,6/12/22,68.66
Czechia,6/12/22,66.38
World,6/12/22,65.22
Estonia,6/12/22,65.05
Philippines,6/12/22,64.87
Dominican Republic,6/12/22,64.36
Oceania,6/12/22,64.06
Lower middle income,6/12/22,59.87
Bolivia,6/12/22,59.03
Pakistan,6/12/22,57.54
Croatia,6/12/22,57.44
Poland,6/12/22,57.02
Russia,6/12/22,56.05
Tajikistan,6/12/22,52.45
Trinidad and Tobago,6/12/22,49.02
Montenegro,6/12/22,46.46
Slovakia,6/12/22,45.98
Zimbabwe,6/12/22,38.41
Palestine,6/12/22,38.22
South Africa,6/12/22,36.55
Libya,6/12/22,33.18
Kyrgyzstan,6/12/22,23.6
Africa,6/12/22,21.95
Low income,6/12/22,15.18
Cuba,6/11/22,95.21
Chile,6/11/22,91.74
Singapore,6/11/22,91.33
Argentina,6/11/22,90.48
Hong Kong,6/11/22,89.75
Malta,6/11/22,89.37
Macao,6/11/22,87.93
Uruguay,6/11/22,87.49
South Korea,6/11/22,86.99
Vietnam,6/11/22,86.62
Peru,6/11/22,86.6
Italy,6/11/22,86.05
Brazil,6/11/22,85.59
Canada,6/11/22,85.18
Ecuador,6/11/22,84.31
South America,6/11/22,84.13
Bahrain,6/11/22,84.05
Japan,6/11/22,83.66
Scotland,6/11/22,82.82
New Zealand,6/11/22,82.76
Malaysia,6/11/22,82.64
Denmark,6/11/22,81.69
Ireland,6/11/22,81.44
Upper middle income,6/11/22,81.39
Wales,6/11/22,80.94
France,6/11/22,80.35
Norway,6/11/22,79.89
England,6/11/22,79.6
Belgium,6/11/22,79.37
United Kingdom,6/11/22,79.3
Thailand,6/11/22,78.95
High income,6/11/22,78.29
United States,6/11/22,78.19
Germany,6/11/22,77.59
Austria,6/11/22,76.94
Greece,6/11/22,76.24
Northern Ireland,6/11/22,75.21
Asia,6/11/22,75.1
European Union,6/11/22,74.33
Luxembourg,6/11/22,74.29
Nepal,6/11/22,73.54
Latvia,6/11/22,72.72
North America,6/11/22,72.35
India,6/11/22,71.5
Israel,6/11/22,71.05
Lithuania,6/11/22,70.98
Switzerland,6/11/22,69.64
Europe,6/11/22,68.65
Czechia,6/11/22,66.38
World,6/11/22,65.22
Estonia,6/11/22,65.04
Dominican Republic,6/11/22,64.36
Oceania,6/11/22,64.06
Lower middle income,6/11/22,59.85
Bolivia,6/11/22,59.03
Pakistan,6/11/22,57.51
Croatia,6/11/22,57.44
Poland,6/11/22,57.02
Russia,6/11/22,56.05
Trinidad and Tobago,6/11/22,49.02
Montenegro,6/11/22,46.46
Zimbabwe,6/11/22,38.41
South Africa,6/11/22,36.54
Kyrgyzstan,6/11/22,23.6
Africa,6/11/22,21.95
Low income,6/11/22,15.18
Brunei,6/10/22,99.3
Cuba,6/10/22,95.2
Portugal,6/10/22,94.83
Chile,6/10/22,91.73
Singapore,6/10/22,91.33
Argentina,6/10/22,90.48
Hong Kong,6/10/22,89.72
Malta,6/10/22,89.37
Cayman Islands,6/10/22,89.02
Taiwan,6/10/22,88.32
Macao,6/10/22,87.91
Uruguay,6/10/22,87.49
South Korea,6/10/22,86.99
Peru,6/10/22,86.59
Vietnam,6/10/22,86.57
Italy,6/10/22,86.05
Canada,6/10/22,85.18
Ecuador,6/10/22,84.31
South America,6/10/22,84.12
Bahrain,6/10/22,84.05
Nicaragua,6/10/22,84.01
Japan,6/10/22,83.65
Aruba,6/10/22,83.6
Scotland,6/10/22,82.8
New Zealand,6/10/22,82.75
Malaysia,6/10/22,82.64
Denmark,6/10/22,81.69
Colombia,6/10/22,81.67
Ireland,6/10/22,81.44
Upper middle income,6/10/22,81.39
Wales,6/10/22,80.91
France,6/10/22,80.35
Norway,6/10/22,79.89
England,6/10/22,79.59
Belgium,6/10/22,79.37
United Kingdom,6/10/22,79.28
Thailand,6/10/22,78.94
Panama,6/10/22,78.92
High income,6/10/22,78.29
United States,6/10/22,78.18
Germany,6/10/22,77.59
Austria,6/10/22,76.94
Greece,6/10/22,76.23
Northern Ireland,6/10/22,75.2
Asia,6/10/22,75.09
European Union,6/10/22,74.33
Luxembourg,6/10/22,74.29
Nepal,6/10/22,73.53
Latvia,6/10/22,72.72
Netherlands,6/10/22,72.67
North America,6/10/22,72.35
India,6/10/22,71.49
Israel,6/10/22,71.05
Lithuania,6/10/22,70.98
Turks and Caicos Islands,6/10/22,69.96
Switzerland,6/10/22,69.63
Mexico,6/10/22,69.18
Europe,6/10/22,68.65
Anguilla,6/10/22,67.8
Czechia,6/10/22,66.38
World,6/10/22,65.21
Estonia,6/10/22,65.04
Dominican Republic,6/10/22,64.36
Oceania,6/10/22,64.06
British Virgin Islands,6/10/22,61.81
Lower middle income,6/10/22,59.84
Slovenia,6/10/22,59.71
Bolivia,6/10/22,59.02
Belize,6/10/22,58.71
Pakistan,6/10/22,57.48
Croatia,6/10/22,57.44
Poland,6/10/22,57.02
Curacao,6/10/22,56.6
Russia,6/10/22,56.04
Kosovo,6/10/22,50.7
Kazakhstan,6/10/22,49.04
Trinidad and Tobago,6/10/22,49.01
Montenegro,6/10/22,46.46
Guatemala,6/10/22,46.31
Dominica,6/10/22,45.09
Zimbabwe,6/10/22,38.38
South Africa,6/10/22,36.52
Grenada,6/10/22,34.81
Saint Lucia,6/10/22,33.03
Jamaica,6/10/22,28.55
Kyrgyzstan,6/10/22,23.6
Africa,6/10/22,21.94
Low income,6/10/22,15.18
Haiti,6/10/22,1.65
Chile,6/9/22,91.72
Singapore,6/9/22,91.32
Argentina,6/9/22,90.48
Hong Kong,6/9/22,89.69
Malta,6/9/22,89.36
Taiwan,6/9/22,88.21
Macao,6/9/22,87.88
Uruguay,6/9/22,87.48
South Korea,6/9/22,86.99
Peru,6/9/22,86.57
Vietnam,6/9/22,86.49
Italy,6/9/22,86.05
Brazil,6/9/22,85.58
Australia,6/9/22,85.3
Canada,6/9/22,85.17
Ecuador,6/9/22,84.3
South America,6/9/22,84.1
Bahrain,6/9/22,84.05
Japan,6/9/22,83.64
Aruba,6/9/22,83.58
Scotland,6/9/22,82.79
New Zealand,6/9/22,82.75
Malaysia,6/9/22,82.64
Denmark,6/9/22,81.69
Finland,6/9/22,81.49
Ireland,6/9/22,81.43
Upper middle income,6/9/22,81.38
Wales,6/9/22,80.91
France,6/9/22,80.35
Norway,6/9/22,79.89
England,6/9/22,79.58
Belgium,6/9/22,79.37
United Kingdom,6/9/22,79.28
Thailand,6/9/22,78.92
High income,6/9/22,78.28
United States,6/9/22,78.17
Germany,6/9/22,77.59
Laos,6/9/22,77.27
Austria,6/9/22,76.93
Greece,6/9/22,76.23
Northern Ireland,6/9/22,75.2
Asia,6/9/22,75.08
European Union,6/9/22,74.33
Luxembourg,6/9/22,74.29
Nepal,6/9/22,73.52
Latvia,6/9/22,72.72
North America,6/9/22,72.31
India,6/9/22,71.47
Israel,6/9/22,71.05
Lithuania,6/9/22,70.98
Switzerland,6/9/22,69.63
Europe,6/9/22,68.65
Liechtenstein,6/9/22,67.95
Czechia,6/9/22,66.37
World,6/9/22,65.2
Estonia,6/9/22,65.04
Dominican Republic,6/9/22,64.35
Oceania,6/9/22,64.06
Lower middle income,6/9/22,59.82
Slovenia,6/9/22,59.7
Bolivia,6/9/22,59.01
Croatia,6/9/22,57.44
Poland,6/9/22,57.02
Curacao,6/9/22,56.6
Kosovo,6/9/22,50.69
Trinidad and Tobago,6/9/22,49.01
Serbia,6/9/22,48.8
Montenegro,6/9/22,46.45
Zimbabwe,6/9/22,38.37
South Africa,6/9/22,36.5
Kyrgyzstan,6/9/22,23.59
Africa,6/9/22,21.94
Low income,6/9/22,15.18
Cuba,6/8/22,95.19
Chile,6/8/22,91.71
Singapore,6/8/22,91.32
Argentina,6/8/22,90.47
Hong Kong,6/8/22,89.67
Malta,6/8/22,89.36
Taiwan,6/8/22,88.08
Macao,6/8/22,87.86
Uruguay,6/8/22,87.48
South Korea,6/8/22,86.99
Spain,6/8/22,86.72
Peru,6/8/22,86.55
Vietnam,6/8/22,86.37
Italy,6/8/22,86.05
Brazil,6/8/22,85.53
Australia,6/8/22,85.3
Canada,6/8/22,85.17
Ecuador,6/8/22,84.29
South America,6/8/22,84.07
Bahrain,6/8/22,84.04
Nicaragua,6/8/22,84.01
Japan,6/8/22,83.64
Aruba,6/8/22,83.57
Scotland,6/8/22,82.79
New Zealand,6/8/22,82.75
Malaysia,6/8/22,82.64
Denmark,6/8/22,81.69
Ireland,6/8/22,81.43
Upper middle income,6/8/22,81.37
Wales,6/8/22,80.9
France,6/8/22,80.35
Norway,6/8/22,79.88
England,6/8/22,79.58
Belgium,6/8/22,79.37
United Kingdom,6/8/22,79.27
Panama,6/8/22,78.92
Thailand,6/8/22,78.91
High income,6/8/22,78.27
United States,6/8/22,78.15
Germany,6/8/22,77.59
Austria,6/8/22,76.93
Greece,6/8/22,76.23
Bangladesh,6/8/22,75.42
Northern Ireland,6/8/22,75.2
Asia,6/8/22,75.08
European Union,6/8/22,74.33
Luxembourg,6/8/22,74.29
Nepal,6/8/22,73.5
Latvia,6/8/22,72.72
North America,6/8/22,72.3
India,6/8/22,71.46
Israel,6/8/22,71.04
Lithuania,6/8/22,70.98
Switzerland,6/8/22,69.63
Europe,6/8/22,68.65
Czechia,6/8/22,66.37
World,6/8/22,65.19
Estonia,6/8/22,65.03
Dominican Republic,6/8/22,64.35
Oceania,6/8/22,64.05
Myanmar,6/8/22,60.92
Lower middle income,6/8/22,59.81
Slovenia,6/8/22,59.7
Guyana,6/8/22,59.04
Bolivia,6/8/22,59
Belize,6/8/22,58.69
Croatia,6/8/22,57.44
Pakistan,6/8/22,57.42
Poland,6/8/22,57.02
Curacao,6/8/22,56.59
Russia,6/8/22,56.04
Kosovo,6/8/22,50.69
Kazakhstan,6/8/22,49.03
Trinidad and Tobago,6/8/22,49
Guatemala,6/8/22,46.28
Zimbabwe,6/8/22,38.36
South Africa,6/8/22,36.47
Grenada,6/8/22,34.81
Saint Lucia,6/8/22,33.01
Jamaica,6/8/22,28.52
Kyrgyzstan,6/8/22,23.58
Africa,6/8/22,21.94
Low income,6/8/22,15.18
Cuba,6/7/22,95.19
Chile,6/7/22,91.7
Singapore,6/7/22,91.32
Argentina,6/7/22,90.47
Hong Kong,6/7/22,89.66
Malta,6/7/22,89.36
Taiwan,6/7/22,87.89
Macao,6/7/22,87.84
Uruguay,6/7/22,87.47
South Korea,6/7/22,86.99
Peru,6/7/22,86.54
Vietnam,6/7/22,86.3
Italy,6/7/22,86.05
Brazil,6/7/22,85.52
Australia,6/7/22,85.29
Canada,6/7/22,85.14
Ecuador,6/7/22,84.29
South America,6/7/22,84.07
Bahrain,6/7/22,84.04
Japan,6/7/22,83.63
Aruba,6/7/22,83.56
Scotland,6/7/22,82.79
New Zealand,6/7/22,82.75
Malaysia,6/7/22,82.63
Denmark,6/7/22,81.69
Ireland,6/7/22,81.43
Upper middle income,6/7/22,81.37
Wales,6/7/22,80.89
France,6/7/22,80.34
Norway,6/7/22,79.88
England,6/7/22,79.57
Belgium,6/7/22,79.36
United Kingdom,6/7/22,79.27
Thailand,6/7/22,78.9
High income,6/7/22,78.26
Sri Lanka,6/7/22,78.2
United States,6/7/22,78.14
Germany,6/7/22,77.59
Austria,6/7/22,76.93
Greece,6/7/22,76.23
Northern Ireland,6/7/22,75.2
Asia,6/7/22,75.03
European Union,6/7/22,74.33
Luxembourg,6/7/22,74.29
Nepal,6/7/22,73.48
Indonesia,6/7/22,72.83
Latvia,6/7/22,72.72
El Salvador,6/7/22,72.71
North America,6/7/22,72.28
India,6/7/22,71.44
Israel,6/7/22,71.04
Lithuania,6/7/22,70.98
Switzerland,6/7/22,69.63
Europe,6/7/22,68.65
Czechia,6/7/22,66.37
World,6/7/22,65.16
Estonia,6/7/22,65.03
Dominican Republic,6/7/22,64.34
Hungary,6/7/22,64.32
Oceania,6/7/22,64.05
Timor,6/7/22,60.56
Lower middle income,6/7/22,59.75
Slovenia,6/7/22,59.7
Bolivia,6/7/22,58.99
Croatia,6/7/22,57.44
Pakistan,6/7/22,57.38
Poland,6/7/22,57.02
Curacao,6/7/22,56.59
Russia,6/7/22,56.04
Kosovo,6/7/22,50.69
Kazakhstan,6/7/22,49.02
Trinidad and Tobago,6/7/22,49
Montenegro,6/7/22,46.45
Georgia,6/7/22,43.46
Zimbabwe,6/7/22,38.34
South Africa,6/7/22,36.44
Jamaica,6/7/22,28.5
Kyrgyzstan,6/7/22,23.57
Africa,6/7/22,21.94
Low income,6/7/22,15.18
Yemen,6/7/22,2.06
Cuba,6/6/22,95.19
Chile,6/6/22,91.69
Singapore,6/6/22,91.31
Argentina,6/6/22,90.46
Hong Kong,6/6/22,89.64
Malta,6/6/22,89.35
Cook Islands,6/6/22,88.26
Macao,6/6/22,87.82
Taiwan,6/6/22,87.72
Uruguay,6/6/22,87.47
South Korea,6/6/22,86.99
Peru,6/6/22,86.53
Vietnam,6/6/22,86.26
Italy,6/6/22,86.05
Brazil,6/6/22,85.5
Australia,6/6/22,85.29
Canada,6/6/22,85.14
Ecuador,6/6/22,84.28
South America,6/6/22,84.06
Bahrain,6/6/22,84.04
Japan,6/6/22,83.63
Aruba,6/6/22,83.54
Scotland,6/6/22,82.78
New Zealand,6/6/22,82.75
Malaysia,6/6/22,82.63
Denmark,6/6/22,81.69
Ireland,6/6/22,81.43
Upper middle income,6/6/22,81.37
Wales,6/6/22,80.87
France,6/6/22,80.34
Norway,6/6/22,79.88
England,6/6/22,79.57
Belgium,6/6/22,79.36
United Kingdom,6/6/22,79.26
Thailand,6/6/22,78.89
High income,6/6/22,78.25
United States,6/6/22,78.13
Germany,6/6/22,77.58
Austria,6/6/22,76.93
Greece,6/6/22,76.23
Maldives,6/6/22,76.12
Fiji,6/6/22,75.93
Bangladesh,6/6/22,75.4
Northern Ireland,6/6/22,75.2
Asia,6/6/22,75.02
European Union,6/6/22,74.33
Nepal,6/6/22,73.46
Latvia,6/6/22,72.72
North America,6/6/22,72.27
India,6/6/22,71.43
Israel,6/6/22,71.04
Lithuania,6/6/22,70.98
Switzerland,6/6/22,69.63
Europe,6/6/22,68.65
Czechia,6/6/22,66.37
World,6/6/22,65.15
Estonia,6/6/22,65.03
New Caledonia,6/6/22,64.96
Dominican Republic,6/6/22,64.33
Oceania,6/6/22,64.05
Lower middle income,6/6/22,59.73
Slovenia,6/6/22,59.7
Bolivia,6/6/22,58.97
Croatia,6/6/22,57.43
Pakistan,6/6/22,57.35
Poland,6/6/22,57.02
Curacao,6/6/22,56.59
Kosovo,6/6/22,50.69
Serbia,6/6/22,48.8
Montenegro,6/6/22,46.44
South Africa,6/6/22,36.42
Jamaica,6/6/22,28.49
Kyrgyzstan,6/6/22,23.56
Africa,6/6/22,21.94
Low income,6/6/22,15.18
Papua New Guinea,6/6/22,3.26
United Arab Emirates,6/5/22,105.83
Cuba,6/5/22,95.18
Chile,6/5/22,91.68
Singapore,6/5/22,91.31
Argentina,6/5/22,90.46
Cambodia,6/5/22,89.73
Hong Kong,6/5/22,89.62
Malta,6/5/22,89.34
Bhutan,6/5/22,88.55
Macao,6/5/22,87.8
Taiwan,6/5/22,87.51
South Korea,6/5/22,86.99
Peru,6/5/22,86.51
Vietnam,6/5/22,86.23
Italy,6/5/22,86.05
Brazil,6/5/22,85.49
Australia,6/5/22,85.29
Canada,6/5/22,85.14
Ecuador,6/5/22,84.27
South America,6/5/22,84.05
Bahrain,6/5/22,84.03
Japan,6/5/22,83.62
Scotland,6/5/22,82.78
New Zealand,6/5/22,82.75
Malaysia,6/5/22,82.63
Denmark,6/5/22,81.69
Ireland,6/5/22,81.43
Upper middle income,6/5/22,81.37
Wales,6/5/22,80.86
France,6/5/22,80.34
Norway,6/5/22,79.88
England,6/5/22,79.56
Belgium,6/5/22,79.36
United Kingdom,6/5/22,79.26
Seychelles,6/5/22,79.23
Thailand,6/5/22,78.88
High income,6/5/22,78.24
United States,6/5/22,78.11
Germany,6/5/22,77.58
Austria,6/5/22,76.93
Greece,6/5/22,76.23
Jersey,6/5/22,75.35
Mauritius,6/5/22,75.2
Northern Ireland,6/5/22,75.19
Asia,6/5/22,75.01
European Union,6/5/22,74.33
Sweden,6/5/22,73.85
Nepal,6/5/22,73.45
Latvia,6/5/22,72.71
North America,6/5/22,72.27
India,6/5/22,71.42
Israel,6/5/22,71.04
Lithuania,6/5/22,70.98
Switzerland,6/5/22,69.63
Europe,6/5/22,68.64
Belarus,6/5/22,67.15
Morocco,6/5/22,66.55
Czechia,6/5/22,66.37
World,6/5/22,65.15
Estonia,6/5/22,65.02
Philippines,6/5/22,64.59
Dominican Republic,6/5/22,64.33
Oceania,6/5/22,64.03
Lower middle income,6/5/22,59.73
Bolivia,6/5/22,58.97
Croatia,6/5/22,57.43
Pakistan,6/5/22,57.32
Poland,6/5/22,57.02
Uzbekistan,6/5/22,56.34
Sao Tome and Principe,6/5/22,54.13
Kosovo,6/5/22,50.69
Trinidad and Tobago,6/5/22,48.99
Albania,6/5/22,46.54
Montenegro,6/5/22,46.44
Slovakia,6/5/22,45.98
Egypt,6/5/22,43.11
Mauritania,6/5/22,40.63
North Macedonia,6/5/22,40.55
Zimbabwe,6/5/22,38.33
South Africa,6/5/22,36.42
Angola,6/5/22,35.69
Uganda,6/5/22,33.64
Libya,6/5/22,32.97
Bulgaria,6/5/22,30.83
Cote d'Ivoire,6/5/22,28.5
Sierra Leone,6/5/22,27.7
Guinea-Bissau,6/5/22,25.14
Togo,6/5/22,23.65
Kyrgyzstan,6/5/22,23.54
Kenya,6/5/22,23.28
Africa,6/5/22,21.94
Ethiopia,6/5/22,20.08
Central African Republic,6/5/22,19.74
Namibia,6/5/22,19.34
Equatorial Guinea,6/5/22,15.85
Djibouti,6/5/22,15.7
Low income,6/5/22,15.18
Somalia,6/5/22,13.06
Gabon,6/5/22,12.91
Nigeria,6/5/22,12.54
Chad,6/5/22,12.51
Congo,6/5/22,11.62
Burkina Faso,6/5/22,10.8
South Sudan,6/5/22,9.25
Niger,6/5/22,8.39
Mali,6/5/22,7.51
Cameroon,6/5/22,5.58
Madagascar,6/5/22,4.36
Democratic Republic of Congo,6/5/22,2.44
Burundi,6/5/22,0.11
Cuba,6/4/22,95.18
Chile,6/4/22,91.68
Singapore,6/4/22,91.31
China,6/4/22,90.53
Argentina,6/4/22,90.46
Hong Kong,6/4/22,89.6
Malta,6/4/22,89.34
Macao,6/4/22,87.78
Uruguay,6/4/22,87.45
South Korea,6/4/22,86.99
Peru,6/4/22,86.5
Vietnam,6/4/22,86.22
Italy,6/4/22,86.05
Brazil,6/4/22,85.49
Canada,6/4/22,85.12
Ecuador,6/4/22,84.27
South America,6/4/22,84.05
Bahrain,6/4/22,84.03
Japan,6/4/22,83.62
Scotland,6/4/22,82.76
New Zealand,6/4/22,82.75
Malaysia,6/4/22,82.63
Denmark,6/4/22,81.69
Ireland,6/4/22,81.43
Upper middle income,6/4/22,81.36
Wales,6/4/22,80.86
France,6/4/22,80.34
Norway,6/4/22,79.88
England,6/4/22,79.56
Belgium,6/4/22,79.36
United Kingdom,6/4/22,79.25
Thailand,6/4/22,78.88
High income,6/4/22,78.23
United States,6/4/22,78.11
Germany,6/4/22,77.58
Austria,6/4/22,76.93
Greece,6/4/22,76.23
Bangladesh,6/4/22,75.38
Northern Ireland,6/4/22,75.19
Asia,6/4/22,74.91
European Union,6/4/22,74.32
Luxembourg,6/4/22,74.28
Nepal,6/4/22,73.44
Latvia,6/4/22,72.71
North America,6/4/22,72.26
India,6/4/22,71.41
Israel,6/4/22,71.04
Lithuania,6/4/22,70.98
Switzerland,6/4/22,69.63
Europe,6/4/22,68.64
Czechia,6/4/22,66.37
World,6/4/22,65.06
Estonia,6/4/22,65.02
Dominican Republic,6/4/22,64.33
Oceania,6/4/22,64.03
Slovenia,6/4/22,59.7
Lower middle income,6/4/22,59.57
Bolivia,6/4/22,58.97
Barbados,6/4/22,57.68
Croatia,6/4/22,57.43
Pakistan,6/4/22,57.32
Poland,6/4/22,57.02
Curacao,6/4/22,56.58
Russia,6/4/22,56.04
Kosovo,6/4/22,50.69
Trinidad and Tobago,6/4/22,48.98
Montenegro,6/4/22,46.44
Zimbabwe,6/4/22,38.33
South Africa,6/4/22,36.41
Kyrgyzstan,6/4/22,23.53
Africa,6/4/22,21.78
Low income,6/4/22,14.99
Cuba,6/3/22,95.18
Portugal,6/3/22,94.82
Chile,6/3/22,91.68
Singapore,6/3/22,91.3
Argentina,6/3/22,90.46
Hong Kong,6/3/22,89.57
Malta,6/3/22,89.34
Cayman Islands,6/3/22,88.94
Macao,6/3/22,87.76
Uruguay,6/3/22,87.45
Taiwan,6/3/22,87.29
South Korea,6/3/22,86.99
Peru,6/3/22,86.49
Vietnam,6/3/22,86.16
Italy,6/3/22,86.05
Brazil,6/3/22,85.47
Australia,6/3/22,85.28
Canada,6/3/22,85.12
Ecuador,6/3/22,84.27
Bahrain,6/3/22,84.03
South America,6/3/22,84.03
Japan,6/3/22,83.6
Aruba,6/3/22,83.51
Nicaragua,6/3/22,83.31
New Zealand,6/3/22,82.75
Scotland,6/3/22,82.75
Malaysia,6/3/22,82.62
Denmark,6/3/22,81.69
Colombia,6/3/22,81.53
Ireland,6/3/22,81.43
Upper middle income,6/3/22,81.35
Wales,6/3/22,80.86
France,6/3/22,80.34
Norway,6/3/22,79.88
England,6/3/22,79.55
Belgium,6/3/22,79.36
United Kingdom,6/3/22,79.24
Panama,6/3/22,78.88
Thailand,6/3/22,78.88
High income,6/3/22,78.22
United States,6/3/22,78.1
Germany,6/3/22,77.58
Laos,6/3/22,77.23
Austria,6/3/22,76.93
Greece,6/3/22,76.23
Northern Ireland,6/3/22,75.19
Asia,6/3/22,74.89
